iter	Passed	Remaining
0	1	108
1	2	100
2	3	99
3	3	91
4	4	89
5	5	87
6	6	92
7	8	92
8	9	91
9	10	91
10	11	89
11	11	87
12	12	85
13	13	83
14	14	82
15	15	80
16	16	78
17	16	77
18	17	75
19	18	74
20	19	73
21	20	72
22	21	71
23	22	70
24	23	69
25	23	68
26	24	67
27	25	66
28	26	64
29	27	63
30	28	62
31	29	61
32	30	60
33	30	59
34	31	58
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	54
41	38	52
42	39	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	44	45
49	44	44
50	45	44
51	46	43
52	47	42
53	48	41
54	49	40
55	50	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	32
63	57	32
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	63	24
72	64	24
73	65	23
74	66	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	71	16
81	72	15
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	77	10
88	78	9
89	79	8
90	80	7
91	81	7
92	82	6
93	83	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	88	0
